"name","id"
"Finland","1"
"United States of America","2"
"Austria","3"
"Denmark","4"
"France","5"
"Germany","6"
"Iceland","7"
"Netherlands","8"
"Norway","9"
"Sweden","10"
"United Kingdom","11"
"Canada","12"
"Spain","13"
"Israel","14"
"Mexico","15"
"Palestinian Territory","16"
"Switzerland","17"
"Hong Kong","18"
"China","19"
"Japan","20"
"Poland","21"
"South Korea","22"
"Luxembourg","23"
"New Zealand","24"
"Belgium","25"
"Ireland","26"
"Italy","27"
"South Africa","28"
"Australia","29"
"Argentina","30"
"Czech Republic","31"
"Hungary","32"
"Bosnia and Herzegovina","33"
"Croatia","34"
"Turkey","35"
"Portugal","36"
"Ecuador","37"
"Colombia","38"
"India","39"
"Russia","40"
"Soviet Union","41"
"Brazil","42"
"Bulgaria","43"
"Malta","44"
"East Germany","45"
"Yugoslavia","46"
"Mongolia","47"
"Estonia","48"
"Latvia","49"
"Bahamas","50"
"Liechtenstein","51"
"Thailand","52"
"Burkina Faso","53"
"Egypt","54"
"Iran","55"
"Romania","56"
"Algeria","57"
"Morocco","58"
"Djibouti","59"
"Peru","60"
"Taiwan","61"
"Afghanistan","62"
"Vietnam","63"
"Serbia and Montenegro","64"
"Haiti","65"
"Slovakia","66"
"Ukraine","67"
"Namibia","68"
"Andorra","69"
"Serbia","70"
"Slovenia","71"
"Lithuania","72"
"Lebanon","73"
"Czechoslovakia","74"
"Uruguay","75"
"Iraq","76"
"Botswana","77"
"Philippines","78"
"Liberia","79"
"Kazakhstan","80"
"Cyprus","81"
"Greece","82"
"Malaysia","83"
"Singapore","84"
"Aruba","85"
"Tunisia","86"
"Belarus","87"
"Tajikistan","88"
"Uzbekistan","89"
"Chile","90"
"Macedonia","91"
"Cuba","92"
"Indonesia","93"
"Cayman Islands","94"
"Ethiopia","95"
"Georgia","96"
"Jamaica","97"
"Netherlands Antilles","98"
"Bhutan","99"
"Turks and Caicos Islands","100"
"Swaziland","101"
"Rwanda","102"
"Dominican Republic","103"
"Qatar","104"
"Puerto Rico","105"
"Chad","106"
"Albania","107"
"Zambia","108"
"Honduras","109"
"United Arab Emirates","110"
"El Salvador","111"
"Venezuela","112"
"Nepal","113"
"Libyan Arab Jamahiriya","114"
"Paraguay","115"
"Jordan","116"
"Kuwait","117"
"Tanzania","118"
"Timor-Leste","119"
"Costa Rica","120"
"Nicaragua","121"
"Monaco","122"
"Mali","123"
"Mauritania","124"
"Kenya","125"
"Cameroon","126"
"Senegal","127"
"Bolivia","128"
"Pakistan","129"
"Cambodia","130"
"North Korea","131"
"St. Pierre and Miquelon","132"
"Tokelau","133"
"Lao People's Democratic Republic","134"
"Congo","135"
"Guatemala","136"
"Armenia","137"
"Sri Lanka","138"
"Moldova","139"
"Kyrgyz Republic","140"
"Panama","141"
"Ghana","142"
"Trinidad and Tobago","143"
"Barbados","144"
"Bangladesh","145"
"French Polynesia","146"
"New Caledonia","147"
"Samoa","148"
"Cote D'Ivoire","149"
"Togo","150"
"Guinea","151"
"Saudi Arabia","152"
"Fiji","153"
"Montenegro","154"
"Uganda","155"
"Suriname","156"
"Nigeria","157"
"Angola","158"
"Macao","159"
"Madagascar","160"
"Azerbaijan","161"
"Greenland","162"
"Faeroe Islands","163"
"Zimbabwe","164"
"Somalia","165"
"Palau","166"
"Kosovo","167"
"Guinea-Bissau","168"
"Mozambique","169"
"Syrian Arab Republic","170"
"Yemen","171"
"Myanmar","172"
"Falkland Islands","173"
"Turkmenistan","174"
"South Sudan","175"
"Central African Republic","176"
"Gabon","177"
"Tuvalu","178"
"Brunei Darussalam","179"
"Comoros","180"
"Sudan","181"
"Equatorial Guinea","182"
"Belize","183"
"Antarctica","184"
"Vanuatu","185"
"Benin","186"
"Cook Islands","187"
"Western Sahara","188"
"Cape Verde","189"
"Bermuda","190"
"St. Kitts and Nevis","191"
"Guadaloupe","192"
"Malawi","193"
"Holy See","194"
"Christmas Island","195"
"Lesotho","196"
"Oman","197"
"Mauritius","198"
"Northern Ireland","199"
"Anguilla","200"
