"full_name","id"
"Aki Kaurismäki","1"
"Robert Rodriguez","2"
"Allison Anders","3"
"Alexandre Rockwell","4"
"Quentin Tarantino","5"
"Stephen Hopkins","6"
"Timo Novotny","7"
"George Lucas","8"
"Andrew Stanton","9"
"Robert Zemeckis","10"
"Sam Mendes","11"
"Orson Welles","12"
"Lars von Trier","13"
"John Fawcett","14"
"Luc Besson","15"
"Fritz Lang","16"
"Isabel Coixet","17"
"Gore Verbinski","18"
"Eytan Fox","19"
"Michael Winterbottom","20"
"Francis Ford Coppola","21"
"Clint Eastwood","22"
"David Silverman","23"
"Michel Gondry","24"
"Alejandro González Iñárritu","25"
"David Cronenberg","26"
"Stanley Kubrick","27"
"Terry Gilliam","28"
"Pedro Almodóvar","29"
"Curtis Hanson","30"
"Hany Abu-Assad","31"
"James Mangold","32"
"Stephen Daldry","33"
"Tony Kaye","34"
"Steven Spielberg","35"
"Tim Burton","36"
"Richard Linklater","37"
"Christopher Nolan","38"
"Ridley Scott","39"
"Zhang Yimou","40"
"Hayao Miyazaki","41"
"Michael Mann","42"
"Chris Kentis","43"
"Oskar Roehler","44"
"Emile Ardolino","45"
"Martin Brest","46"
"Michael Glawogger","47"
"Otto Preminger","48"
"Michael Bay","49"
"Tony Scott","50"
"Guy Ritchie","51"
"Susanne Bier","52"
"Martin Scorsese","53"
"Tom Tykwer","54"
"John McTiernan","55"
"Krzysztof Kieślowski","56"
"Brian De Palma","57"
"Lone Scherfig","58"
"Kim Ki-duk","59"
"Garry Marshall","60"
"Joel Coen","61"
"Woody Allen","62"
"Peter Jackson","63"
"Ralph Bakshi","64"
"Tod Browning","65"
"Harold Ramis","66"
"Søren Kragh-Jacobsen","67"
"Richard Kelly","68"
"Ang Lee","69"
"Lewis Milestone","70"
"Wim Wenders","71"
"François Truffaut","72"
"Katsuhiro Otomo","73"
"Walter Hill","74"
"Sofia Coppola","75"
"Thomas Jahn","76"
"Sönke Wortmann","77"
"Louis Lumière","78"
"Auguste Lumière","79"
"Steven Soderbergh","80"
"Blake Edwards","81"
"Iain Softley","82"
"Danny Boyle","83"
"Richard Fleischer","84"
"Nicholas Meyer","85"
"James Wan","86"
"Sydney Pollack","87"
"Todd Holland","88"
"Paul McGuigan","89"
"Frank Miller","90"
"Christian Petzold","91"
"Jean-Jacques Annaud","92"
"David Carson","93"
"Jean-Pierre Jeunet","94"
"Mel Gibson","95"
"Jonathan Frakes","96"
"Stuart Baird","97"
"Henri-Georges Clouzot","98"
"Terry George","99"
"Mario Andreacchio","100"
"Peter Weir","101"
"Hannes Stöhr","102"
"Frank Capra","103"
"Alfred Hitchcock","104"
"Darren Lynn Bousman","105"
"James Cameron","106"
"Walter Ruttmann","107"
"Kimberly Peirce","108"
"James Whale","109"
"Stephen Gaghan","110"
"Robert Wiene","111"
"Rob Reiner","112"
"P.J. Hogan","113"
"David Mackenzie","114"
"Billy Wilder","115"
"Oliver Stone","116"
"Stephen Frears","117"
"Ernest B. Schoedsack","118"
"Merian C. Cooper","119"
"Chris Weitz","120"
"Paul Weitz","121"
"Takeshi Kitano","122"
"Danny DeVito","123"
"Lasse Spang Olsen","124"
"Jerry Zucker","125"
"Mel Stuart","126"
"Roman Polanski","127"
"Richard Brooks","128"
"Jean-Luc Godard","129"
"Hans Weingartner","130"
"Jonathan Demme","131"
"Len Wiseman","132"
"Frank Darabont","133"
"Miloš Forman","134"
"Kathryn Bigelow","135"
"Fred Zinnemann","136"
"Stacy Peralta","137"
"Robert Redford","138"
"Jonathan Mostow","139"
"Howard Hawks","140"
"François Ozon","141"
"John Landis","142"
"Jim Jarmusch","143"
"Thomas Vinterberg","144"
"Tom Shadyac","145"
"Sergio Leone","146"
"Caroline Link","147"
"Marc Evans","148"
"Pitof","149"
"Andreas Dresen","150"
"Jasmila Žbanić","151"
"Émile Gaudreault","152"
"David R. Ellis","153"
"Joe Johnston","154"
"David Kellogg","155"
"Deepa Mehta","156"
"Paul Thomas Anderson","157"
"François Dupeyron","158"
"Wolfgang Becker","159"
"Liev Schreiber","160"
"Manuel Pradal","161"
"Marco Kreuzpaintner","162"
"Hal Ashby","163"
"Peter Thorwarth","164"
"Akira Kurosawa","165"
"Edgar G. Ulmer","166"
"Robert Siodmak","167"
"Jacques Martineau","168"
"Olivier Ducastel","169"
"David Frankel","170"
"Valeska Grisebach","171"
"Fatih Akin","172"
"Wes Craven","173"
"Barry Levinson","174"
"Wolfgang Petersen","175"
"Spike Lee","176"
"Sidney Lumet","177"
"Lasse Hallström","178"
"Paul W. S. Anderson","179"
"Mike Nichols","180"
"Lawrence Kasdan","181"
"Bennett Miller","182"
"Gary Fleder","183"
"Zach Braff","184"
"Paul Verhoeven","185"
"David Lynch","186"
"Mathieu Kassovitz","187"
"David Hand","188"
"Anthony Minghella","189"
"Andrew Adamson","190"
"Joel Schumacher","191"
"Wes Anderson","192"
"Federico Fellini","193"
"Chris Wedge","194"
"Stefan Krohmer","195"
"Vincenzo Natali","196"
"Robert Stevenson","197"
"Roland Emmerich","198"
"Joshua Marston","199"
"Andrzej Sekula","200"
"Ernie Barbarash","201"
"Greg Strause","202"
"Colin Strause","203"
"Reza Bagher","204"
"Michael Haneke","205"
"Hans-Christian Schmid","206"
"Mike Figgis","207"
"Ron Howard","208"
"Baz Luhrmann","209"
"Gurinder Chadha","210"
"Dani Levy","211"
"Kay Pollak","212"
"Nick Hamm","213"
"Gus Van Sant","214"
"Maciej Dejczer","215"
"Darren Aronofsky","216"
"Arthur Penn","217"
"John Singleton","218"
"Mira Nair","219"
"Alberto Rodríguez","220"
"John Huston","221"
"Ingmar Bergman","222"
"Spike Jonze","223"
"Larry Charles","224"
"Werner Herzog","225"
"Patty Jenkins","226"
"Roger Avary","227"
"Richard Curtis","228"
"Roger Michell","229"
"Lee Tamahori","230"
"Nick Park","231"
"Steve Box","232"
"McG","233"
"Stéphane Brizé","234"
"Angela Robinson","235"
"Carlos Carrera","236"
"Peter Farrelly","237"
"Bobby Farrelly","238"
"Duncan Tucker","239"
"Julian Schnabel","240"
"David Fincher","241"
"Ronald Neame","242"
"Silvio Soldini","243"
"Aleksandr Rogozhkin","244"
"Sam Raimi","245"
"Francis Lawrence","246"
"Stephen Sommers","247"
"Catherine Breillat","248"
"Pål Sletaune","249"
"Oliver Hirschbiegel","250"
"Sam Peckinpah","251"
"Jeannot Szwarc","252"
"Kevin Costner","253"
"Florian Henckel von Donnersmarck","254"
"Terry Jones","255"
"Pete Docter","256"
"Christophe Gans","257"
"Andrei Tarkovsky","258"
"Robert Mulligan","259"
"John Ford","260"
"Fernando Meirelles","261"
"Lana Wachowski","262"
"Lilly Wachowski","263"
"Barry Sonnenfeld","264"
"Tobe Hooper","265"
"Edward Zwick","266"
"John McNaughton","267"
"D.W. Griffith","268"
"Mick Jackson","269"
"Ivan Reitman","270"
"Randal Kleiser","271"
"Charles Crichton","272"
"Dennis Hopper","273"
"Roland Joffé","274"
"Luis Buñuel","275"
"Neil Jordan","276"
"Bryan Singer","277"
